Local authority,Library name,Month,Type,Loans
Devon,~BARNSTAPLE LOCAL HISTORY,2018-01,Adult Fiction,1
Devon,~BARNSTAPLE LOCAL HISTORY,2018-03,Adult Non Fiction,0
Devon,~BARNSTAPLE STACK,2019-01,Adult Non Fiction,0
Devon,~BARNSTAPLE STACK,2020-03,Adult Audiobook,1
Devon,~BARNSTAPLE STACK,2020-03,Adult Fiction,1
Devon,~BARNSTAPLE STACK,2020-07,Adult Audiobook,5
Devon,~BARNSTAPLE STACK,2020-07,Adult Fiction,22
Devon,~BARNSTAPLE STACK,2020-07,Adult Non Fiction,8
Devon,~BARNSTAPLE STACK,2020-07,Children and Teen Fiction,16
Devon,~BARNSTAPLE STACK,2020-08,Adult Fiction,2
Devon,~BARNSTAPLE STACK,2020-08,Adult Non Fiction,24
Devon,~BARNSTAPLE STACK,2020-08,DVD,1
Devon,~BARNSTAPLE STACK,2020-09,Adult Audiobook,5
Devon,~BARNSTAPLE STACK,2020-09,Adult Fiction,6
Devon,~BARNSTAPLE STACK,2020-09,Adult Non Fiction,10
Devon,~BARNSTAPLE STACK,2020-09,Children and Teen Fiction,23
Devon,~DEVON CIRCSTOCK,2018-08,Adult Fiction,0
Devon,~DEVON CIRCSTOCK,2018-08,Adult Non Fiction,0
Devon,~DEVON CIRCSTOCK,2019-02,Adult Fiction,0
Devon,~DEVON CIRCSTOCK,2019-02,Adult Non Fiction,0
Devon,~DEVON CIRCSTOCK,2019-02,Misc,0
Devon,~DEVON CIRCSTOCK,2019-03,Adult Fiction,0
Devon,~DEVON CIRCSTOCK,2019-03,Adult Non Fiction,0
Devon,~DEVON CIRCSTOCK,2019-03,DVD,0
Devon,~DEVON CIRCSTOCK,2019-03,Misc,0
Devon,~EXETER REF STACK,2018-01,Adult Fiction,0
Devon,~HQ ACQUISITION,2018-01,Adult Audiobook,2
Devon,~HQ ACQUISITION,2018-01,Adult Fiction,971
Devon,~HQ ACQUISITION,2018-01,Adult Non Fiction,116
Devon,~HQ ACQUISITION,2018-01,Children and Teen Fiction,11
Devon,~HQ ACQUISITION,2018-01,Children and Teen Non-Fiction,5
Devon,~HQ ACQUISITION,2018-01,Children Audiobook,0
Devon,~HQ ACQUISITION,2018-01,DVD,2
Devon,~HQ ACQUISITION,2018-01,Misc,31
Devon,~HQ ACQUISITION,2018-01,Music CD,2
Devon,~HQ ACQUISITION,2018-01,Play,1
Devon,~HQ ACQUISITION,2018-01,Sheet Music,1
Devon,~HQ ACQUISITION,2018-02,Adult Audiobook,0
Devon,~HQ ACQUISITION,2018-02,Adult Fiction,140
Devon,~HQ ACQUISITION,2018-02,Adult Non Fiction,22
Devon,~HQ ACQUISITION,2018-02,Children and Teen Fiction,16
Devon,~HQ ACQUISITION,2018-02,Children and Teen Non-Fiction,0
Devon,~HQ ACQUISITION,2018-02,Children Audiobook,0
Devon,~HQ ACQUISITION,2018-02,DVD,0
Devon,~HQ ACQUISITION,2018-02,Misc,8
Devon,~HQ ACQUISITION,2018-02,Music CD,4
Devon,~HQ ACQUISITION,2018-03,Adult Audiobook,8
Devon,~HQ ACQUISITION,2018-03,Adult Fiction,240
Devon,~HQ ACQUISITION,2018-03,Adult Non Fiction,13
Devon,~HQ ACQUISITION,2018-03,Children and Teen Fiction,18
Devon,~HQ ACQUISITION,2018-03,Children and Teen Non-Fiction,3
Devon,~HQ ACQUISITION,2018-03,Children Audiobook,0
Devon,~HQ ACQUISITION,2018-03,DVD,1
Devon,~HQ ACQUISITION,2018-03,Misc,3
Devon,~HQ ACQUISITION,2018-03,Music CD,0
Devon,~HQ ACQUISITION,2018-03,Sheet Music,0
Devon,~HQ ACQUISITION,2018-04,Adult Audiobook,1
Devon,~HQ ACQUISITION,2018-04,Adult Fiction,387
Devon,~HQ ACQUISITION,2018-04,Adult Non Fiction,169
Devon,~HQ ACQUISITION,2018-04,Children and Teen Fiction,4
Devon,~HQ ACQUISITION,2018-04,Children and Teen Non-Fiction,0
Devon,~HQ ACQUISITION,2018-04,Children Audiobook,0
Devon,~HQ ACQUISITION,2018-04,DVD,10
Devon,~HQ ACQUISITION,2018-04,Misc,38
Devon,~HQ ACQUISITION,2018-04,Music CD,1
Devon,~HQ ACQUISITION,2018-04,Sheet Music,1
Devon,~HQ ACQUISITION,2018-05,Adult Audiobook,0
